sample_id,iteration,seed,M(Q),G(Q),M(Qperc),M(CES),G(CES),needs_ma,needs_im,acceptance,cons_brown,cons_green,recreation,perc_part_time,M(I),G(I),M(E),G(E),Total Resource Error
0,0,302934307671667531413257853548643485645,0.49417355760348797,0.2291088671970734,0.49417355760348797,0.3333552891473206,0.3833854336448644,0.5474624082973579,0.7983828800849426,0.40678064339094355,0.23498214285714242,0.0,0.7660714285714285,0.07,0.23498214285714283,0.664264508447957,0.23498214285714242,0.6642645084479585,-2.8866882842426556e-17
0,1,328530677494498397859470651507255972949,0.5160663545316418,0.23854177330601464,0.5160663545316418,0.3304829061243415,0.38042575230790265,0.5493881688409625,0.7959677809045524,0.4393494965317581,0.22948809523809488,0.0,0.7684523809523808,0.11,0.22948809523809519,0.6626160709653993,0.22948809523809488,0.6626160709654004,0.0
0,2,312458951358162775936600420074706364002,0.49460678632726585,0.2525774073584807,0.49460678632726585,0.3290772705371518,0.37764281487674567,0.5493542316857909,0.7599107295818075,0.4326653235612088,0.22407142857142825,0.0,0.7690476190476189,0.12,0.22407142857142856,0.6544623313144192,0.22407142857142825,0.6544623313144202,0.0
0,3,329325272347819381495408738591077500473,0.4726184044029463,0.26395556987015223,0.4726184044029463,0.32768152832758335,0.3754575283904801,0.539007394847163,0.7190170729775096,0.4325618715242158,0.21539285714285664,0.0,0.7678571428571428,0.1,0.21539285714285714,0.6421107610678163,0.21539285714285664,0.6421107610678181,0.0
0,4,303416399459424055589361154128267592196,0.4817983169975649,0.2733048947879851,0.4817983169975649,0.3290198536099224,0.37626733254715466,0.5424736517681188,0.7600039218853643,0.4417131646005052,0.2226904761904758,0.0,0.7684523809523808,0.11,0.2226904761904762,0.6501400620121884,0.2226904761904758,0.6501400620121899,-4.020973373275995e-17
0,5,47392387440050222334387056025351624211,0.47646575980712524,0.2590680138771533,0.47646575980712524,0.33016380404718704,0.3797928396537238,0.5391570206832625,0.7055203542600276,0.43043226588024835,0.2272857142857139,0.0,0.7672619047619047,0.09,0.22728571428571429,0.6587822124450031,0.2272857142857139,0.6587822124450045,0.0
0,6,32269235461866222275035555492679550579,0.495668989789841,0.2616057814682486,0.495668989789841,0.3324687297267392,0.38181973342184805,0.5535208279941378,0.7833696514795959,0.42401535357810866,0.2326488095238092,0.0,0.7648809523809519,0.05,0.23264880952380948,0.6617088397083281,0.2326488095238092,0.6617088397083289,0.0
0,7,335946895643039144262342909566494010940,0.48249436890309105,0.248143886237447,0.48249436890309105,0.3304561687887744,0.3795160986192855,0.5487400543146168,0.7688134654264448,0.4144492955296921,0.22738095238095204,0.0,0.7672619047619045,0.09,0.22738095238095238,0.6574534031413612,0.22738095238095204,0.6574534031413622,0.0
0,8,239957681856335131410575018211164889450,0.4978121501560552,0.2590734139607173,0.4978121501560552,0.33114643473263994,0.37896617190824616,0.5564331976676411,0.7700822496043331,0.41939512914560384,0.22232738095238055,0.0,0.7666666666666666,0.08,0.22232738095238094,0.6452274370164118,0.22232738095238055,0.6452274370164133,0.0
0,9,50008373285823983300663084911247910302,0.4779168254658779,0.23748961450110798,0.4779168254658779,0.3320759937692057,0.38189578227925913,0.5540295943907998,0.7671616350374286,0.3976433592794975,0.23203571428571393,0.0,0.7660714285714283,0.07,0.23203571428571426,0.6622379559796828,0.23203571428571393,0.6622379559796839,0.0
